chrom	size	circular
chr1	161428367	FALSE
chr2	141965563	FALSE
chr3	126844711	FALSE
chr4	123809850	FALSE
chr5	125249322	FALSE
chr6	122519025	FALSE
chr7	113029157	FALSE
chr8	116846264	FALSE
chr9	108503706	FALSE
chr10	105982576	FALSE
chr11	109987751	FALSE
chr12	85119472	FALSE
chr13	84213851	FALSE
chr14	81216349	FALSE
chr15	84472747	FALSE
chr16	77710258	FALSE
chr17	76280064	FALSE
chr18	65811054	FALSE
chr19	64845320	FALSE
chr20	75686341	FALSE
chr21	69078422	FALSE
chr22	61598339	FALSE
chr23	52334015	FALSE
chr24	64508398	FALSE
chr25	44081797	FALSE
chr26	51826547	FALSE
chr27	48460478	FALSE
chr28	45964680	FALSE
chr29	51812796	FALSE
chrX	88654062	FALSE
chrY	43300181	FALSE
chrM	16338	TRUE
