chrom	size	circular
chr1	224244399	FALSE
chr2A	108022953	FALSE
chr2B	128755405	FALSE
chr3	196562556	FALSE
chr4	189151597	FALSE
chr5	159319378	FALSE
chr6	168369391	FALSE
chr7	156046543	FALSE
chr8	143338810	FALSE
chr9	110513671	FALSE
chr10	129809613	FALSE
chr11	130782606	FALSE
chr12	130995916	FALSE
chr13	95599650	FALSE
chr14	87716528	FALSE
chr15	80519282	FALSE
chr16	75912362	FALSE
chr17	76554115	FALSE
chr18	74774469	FALSE
chr19	56733099	FALSE
chr20	64035432	FALSE
chr21	33232379	FALSE
chr22	33698415	FALSE
chrX	151576176	FALSE
chrY	26350515	FALSE
chrM	16554	TRUE
