chrom	size	circular
chr1	58871917	FALSE
chr2	59543403	FALSE
chr3	62385949	FALSE
chr4	76625712	FALSE
chr5	71715914	FALSE
chr6	60272633	FALSE
chr7	74082188	FALSE
chr8	54191831	FALSE
chr9	56892771	FALSE
chr10	45574255	FALSE
chr11	45107271	FALSE
chr12	49229541	FALSE
chr13	51780250	FALSE
chr14	51944548	FALSE
chr15	47771147	FALSE
chr16	55381981	FALSE
chr17	53345113	FALSE
chr18	51008593	FALSE
chr19	48790377	FALSE
chr20	55370968	FALSE
chr21	45895719	FALSE
chr22	39226288	FALSE
chr23	46272358	FALSE
chr24	42251103	FALSE
chr25	36898761	FALSE
chrM	16596	TRUE
