chrom	size	circular
chr1	122894117	FALSE
chr2	82903020	FALSE
chr3	92032900	FALSE
chr4	88429730	FALSE
chr5	89245444	FALSE
chr6	77758088	FALSE
chr7	80745686	FALSE
chr8	74192687	FALSE
chr9	60772386	FALSE
chr10	70059352	FALSE
chr11	74036318	FALSE
chr12	72762459	FALSE
chr13	63682632	FALSE
chr14	61098034	FALSE
chr15	64289916	FALSE
chr16	59281881	FALSE
chr17	64204256	FALSE
chr18	55934595	FALSE
chr19	53975570	FALSE
chr20	57931936	FALSE
chr21	50995378	FALSE
chr22	61534057	FALSE
chr23	52790355	FALSE
chr24	47687389	FALSE
chr25	51695226	FALSE
chr26	38422312	FALSE
chr27	46166038	FALSE
chr28	41338898	FALSE
chr29	42070705	FALSE
chr30	40358978	FALSE
chr31	39389883	FALSE
chr32	39041421	FALSE
chr33	31430699	FALSE
chr34	42177406	FALSE
chr35	26483662	FALSE
chr36	31110614	FALSE
chr37	30840041	FALSE
chr38	23826045	FALSE
chrX	122739558	FALSE
chrM	16756	TRUE
