chrom	size	circular
chr1	195276750	FALSE
chr2	148809762	FALSE
chr3	110447801	FALSE
chr4	90216835	FALSE
chr5	59580361	FALSE
chr6	34951654	FALSE
chr7	36245040	FALSE
chr8	28767244	FALSE
chr9	23441680	FALSE
chr10	19911089	FALSE
chr11	19401079	FALSE
chr12	19897011	FALSE
chr13	17760035	FALSE
chr14	15161805	FALSE
chr15	12656803	FALSE
chr16	535270	FALSE
chr17	10454150	FALSE
chr18	11219875	FALSE
chr19	9983394	FALSE
chr20	14302601	FALSE
chr21	6802778	FALSE
chr22	4081097	FALSE
chr23	5723239	FALSE
chr24	6323281	FALSE
chr25	2191139	FALSE
chr26	5329985	FALSE
chr27	5209285	FALSE
chr28	4742627	FALSE
chr32	1028	FALSE
chrW	1248174	FALSE
chrZ	82363669	FALSE
chrLGE22C19W28_E50C23	965146	FALSE
chrLGE64	799899	FALSE
chrM	16775	TRUE
